kdrama_name,episodes,start_airing,end_airing,duration,score,scored_by,ranked,popularity,content_rating,watchers
Blood,20,2015-02-16,2015-04-21,65.0,7.3,21878.0,6837,183,15+ - Teens 15 or older,48737
Blooded Palace: The War of Flowers,50,2013-03-23,2013-09-08,61.0,7.4,291.0,6136,6161,15+ - Teens 15 or older,1379
Bloodhounds,8,,,60.0,8.6,15023.0,292,378,18+ Restricted (violence & profanity),30262
Bloody Heart,16,2022-05-02,2022-06-21,66.0,8.2,2719.0,1414,1405,15+ - Teens 15 or older,9863
Bloody Romance,16,,,60.0,,,37187,5106,Not Yet Rated,1841
Blossom Sisters,50,2010-01-30,2010-07-25,60.0,7.5,179.0,76618,10354,Not Yet Rated,555
Blow Breeze,53,2016-08-27,2017-02-26,75.0,7.1,438.0,8160,4828,15+ - Teens 15 or older,2025
Blue Birthday,16,2021-07-23,2021-09-11,20.0,8.2,8186.0,1300,688,15+ - Teens 15 or older,19380
Bodyguard,22,2003-07-05,2003-09-14,70.0,6.9,185.0,85190,8675,15+ - Teens 15 or older,775
Bo-ra! Deborah,14,2023-04-12,2023-05-25,70.0,8.1,9389.0,1723,606,15+ - Teens 15 or older,21534
Born Again,32,2020-04-20,2020-06-09,35.0,7.2,4318.0,7357,929,15+ - Teens 15 or older,15112
Bossam: Steal the Fate,20,2021-05-01,2021-07-04,65.0,8.0,2289.0,2092,1936,15+ - Teens 15 or older,6838
Boys Over Flowers,25,2009-01-05,2009-03-31,65.0,7.5,82921.0,5305,11,15+ - Teens 15 or older,148471
Brain,20,2011-11-14,2012-01-17,66.0,7.7,1161.0,4101,3406,15+ - Teens 15 or older,3401
Brain Works,16,2023-01-02,2023-02-28,70.0,8.0,1643.0,2392,2203,15+ - Teens 15 or older,5839
Bravo My Life,56,2017-10-21,2018-02-03,30.0,7.4,213.0,6023,7803,15+ - Teens 15 or older,935
"Bravo, My Life",56,2017-10-21,2018-02-03,30.0,7.4,213.0,6023,7803,15+ - Teens 15 or older,935
"Bravo, My Love!",57,2011-07-16,2012-01-29,65.0,7.1,435.0,8074,6453,Not Yet Rated,1280
"Bread, Love and Dreams",24,2020-03-25,2020-04-30,35.0,7.5,11994.0,5228,376,15+ - Teens 15 or older,30652
Bridal Mask,28,2012-05-30,2012-09-06,65.0,8.5,10903.0,403,403,15+ - Teens 15 or older,28609
