kdrama_name,imdb_rating,imdb_users,imdb_description
"['comedy', 'romance', 'drama', 'fantasy']",Feel Good to Die,N/A,N/A
"['business', 'comedy', 'romance', 'sports']",Fight for My Way,8.1,"8,178"
"['romance', 'drama', 'melodrama']",Find Me in Your Memory,7.4,"1,047"
['romance'],Fireworks,N/A,N/A
"['comedy', 'romance', 'fantasy']",First Love Again,7.8,13
"['historical', 'romance', 'drama']",First Love of a Royal Prince,N/A,N/A
"['romance', 'family']",First Wives' Club,N/A,N/A
"['comedy', 'romance', 'drama', 'melodrama']",Five Enough,N/A,N/A
"['music', 'romance', 'melodrama']",Five Fingers,7.1,153
['drama'],Flames of Desire,7.1,18
"['music', 'romance', 'youth']",Flower Band,N/A,N/A
"['historical', 'comedy', 'romance', 'drama']",Flower Crew: Joseon Marriage Agency,7.1,511
"['mystery', 'comedy']",Flower Grandpa Investigation Unit,N/A,N/A
"['thriller', 'romance', 'crime', 'melodrama']",Flower of Evil,8.6,"11,829"
"['comedy', 'romance', 'drama']",Flower of Queen,N/A,N/A
['melodrama'],Flower of Revenge,N/A,N/A
"['historical', 'mystery', 'comedy', 'drama']",Flower That Blooms at Night,N/A,N/A
"['historical', 'law', 'drama', 'melodrama']",Flowers of the Prison,N/A,N/A
"['life', 'drama']",Fly High Butterfly,8.3,50
"['romance', 'drama', 'melodrama']",Forecasting Love and Weather,N/A,N/A
"['business', 'psychological', 'romance', 'medical']",Forest,N/A,N/A
"['comedy', 'romance', 'life', 'drama']",Forever Young,N/A,N/A
['historical'],Foundation of the Kingdom,N/A,N/A
"['romance', 'drama']",Four Sisters,N/A,N/A
"['action', 'historical']","Freedom Fighter, Lee Hoe-young",N/A,N/A
"['comedy', 'romance']",Freeze,N/A,N/A
"['mystery', 'comedy', 'romance', 'fantasy']","From Now On, Showtime!",7.3,542
"['comedy', 'romance', 'drama', 'martial arts']",Full House,7.8,"3,711"
"['comedy', 'romance', 'drama', 'martial arts']",2,N/A,N/A
"['psychological', 'romance', 'youth', 'drama']",Gangnam Beauty,N/A,N/A
"['business', 'comedy', 'romance', 'melodrama']",Gangnam Scandal,6.3,17
"['thriller', 'mystery', 'drama']",Gap-dong,N/A,N/A
"['business', 'comedy', 'romance', 'life']",Gaus Electronics,7.9,516
"['mystery', 'drama']",Get Revenge,7.3,87
"['life', 'youth']",Get Up,N/A,N/A
"['comedy', 'medical', 'fantasy', 'supernatural']",Ghost Doctor,7.9,"1,946"
"['mystery', 'romance', 'youth', 'drama']",1979,7.4,100
"['romance', 'drama', 'melodrama', 'political']",Glamorous Temptation,6.5,43
"['romance', 'drama']",Glass Castle,N/A,N/A
"['psychological', 'drama', 'melodrama']",Glass Mask,8.1,43
"['romance', 'melodrama']",Glass Slippers,7.7,90
"['thriller', 'mystery', 'comedy', 'sci-fi']",Glitch,6.1,"1,086"
"['thriller', 'drama', 'melodrama']",Gloria,6.9,30
"['comedy', 'romance', 'drama']",Glorious Day,7.2,33
"['romance', 'drama']",Glory Jane,7.3,55
"['comedy', 'romance', 'life', 'fantasy']",Go Back,N/A,N/A
"['military', 'adventure', 'historical', 'drama']",God of War,N/A,N/A
"['historical', 'romance', 'drama']",Goddess of Fire,7.2,126
