kdrama_name,genre
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", older womanyounger man
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", murder
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", police department setting
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", death of a mother
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", death of a father
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", detective male lead 
"['comedy', 'romance', 'political']",forbidden love
"['comedy', 'romance', 'political']", secret relationship
"['comedy', 'romance', 'political']", male chases female first
"['comedy', 'romance', 'political']", enemies to lovers
"['comedy', 'romance', 'political']", eccentric male lead
"['comedy', 'romance', 'political']", love square
"['comedy', 'romance', 'political']", unrequited love
"['comedy', 'romance', 'political']", lovehate relationship
"['comedy', 'romance', 'political']", secret romance
"['comedy', 'romance', 'political']", blackmail 
"['romance', 'drama', 'family', 'melodrama']",cancer
"['romance', 'drama', 'family', 'melodrama']", nice male lead
"['romance', 'drama', 'family', 'melodrama']", married female lead
"['romance', 'drama', 'family', 'melodrama']", married male lead
"['romance', 'drama', 'family', 'melodrama']", pregnancy 
"['comedy', 'romance', 'political']",forbidden love
"['comedy', 'romance', 'political']", secret relationship
"['comedy', 'romance', 'political']", male chases female first
"['comedy', 'romance', 'political']", enemies to lovers
"['comedy', 'romance', 'political']", eccentric male lead
"['comedy', 'romance', 'political']", love square
"['comedy', 'romance', 'political']", unrequited love
"['comedy', 'romance', 'political']", lovehate relationship
"['comedy', 'romance', 'political']", secret romance
"['comedy', 'romance', 'political']", blackmail 
"['romance', 'crime', 'drama', 'melodrama']",gambling
"['romance', 'crime', 'drama', 'melodrama']", star crossed lovers
"['romance', 'crime', 'drama', 'melodrama']", greed
"['romance', 'crime', 'drama', 'melodrama']", scheme
"['romance', 'crime', 'drama', 'melodrama']", rich female lead
"['romance', 'crime', 'drama', 'melodrama']", rivalry
"['romance', 'crime', 'drama', 'melodrama']", power struggle
"['romance', 'crime', 'drama', 'melodrama']", jealousy
"['romance', 'crime', 'drama', 'melodrama']", revenge
"['romance', 'crime', 'drama', 'melodrama']", character development 
['romance'],poor female lead
['romance'], rich manpoor woman
['romance'], rich male lead 
"['action', 'thriller', 'horror', 'sci-fi']",survival
"['action', 'thriller', 'horror', 'sci-fi']", zombies
"['action', 'thriller', 'horror', 'sci-fi']", death
"['action', 'thriller', 'horror', 'sci-fi']", zombie apocalypse
"['action', 'thriller', 'horror', 'sci-fi']", virus
"['action', 'thriller', 'horror', 'sci-fi']", high school
"['action', 'thriller', 'horror', 'sci-fi']", gore
"['action', 'thriller', 'horror', 'sci-fi']", adapted from a webtoon
"['action', 'thriller', 'horror', 'sci-fi']", slight romance
"['action', 'thriller', 'horror', 'sci-fi']", suspense 
"['romance', 'youth']",student female lead
"['romance', 'youth']", student male lead
"['romance', 'youth']", school setting
"['romance', 'youth']", teenager female lead
"['romance', 'youth']", teenager male lead
"['romance', 'youth']", miniseries
"['romance', 'youth']", high school
"['romance', 'youth']", first love
"['romance', 'youth']", love triangle
"['romance', 'youth']", bromance 
"['comedy', 'romance', 'life', 'drama']",slow burn story
"['comedy', 'romance', 'life', 'drama']", divorced male lead
"['comedy', 'romance', 'life', 'drama']", divorced female lead
"['comedy', 'romance', 'life', 'drama']", love square
"['comedy', 'romance', 'life', 'drama']", marriage
"['comedy', 'romance', 'life', 'drama']", nice female lead
"['comedy', 'romance', 'life', 'drama']", multiple couples
"['comedy', 'romance', 'life', 'drama']", nice male lead
"['comedy', 'romance', 'life', 'drama']", death
"['comedy', 'romance', 'life', 'drama']", adapted from a novel 
