kdrama_name,day
"['thriller', 'mystery', 'law', 'drama']", saturday
"['comedy', 'romance']",monday
"['comedy', 'romance']", tuesday
"['romance', 'sports']",monday
"['romance', 'sports']", tuesday
"['comedy', 'romance', 'drama', 'melodrama']",saturday
"['comedy', 'romance', 'drama', 'melodrama']", sunday
"['comedy', 'life', 'drama', 'melodrama']",monday
"['comedy', 'life', 'drama', 'melodrama']", tuesday
"['romance', 'youth', 'fantasy']",friday
"['comedy', 'romance', 'drama']",NA
"['thriller', 'mystery', 'supernatural']",saturday
"['thriller', 'mystery', 'supernatural']", sunday
"['comedy', 'life', 'drama']",monday
"['comedy', 'life', 'drama']", tuesday
"['action', 'adventure', 'drama', 'sci-fi']",friday
"['romance', 'drama', 'fantasy', 'melodrama']",wednesday
"['romance', 'drama', 'fantasy', 'melodrama']", thursday
"['comedy', 'romance', 'drama', 'supernatural']",wednesday
"['comedy', 'romance', 'drama', 'supernatural']", thursday
"['comedy', 'romance', 'melodrama']",monday
"['comedy', 'romance', 'melodrama']", tuesday
"['comedy', 'romance', 'melodrama']", wednesday
"['comedy', 'romance', 'melodrama']", thursday
"['comedy', 'romance', 'melodrama']", friday
"['thriller', 'mystery', 'drama']",friday
"['thriller', 'mystery', 'drama']", saturday
"['action', 'romance', 'medical', 'supernatural']",monday
"['action', 'romance', 'medical', 'supernatural']", tuesday
"['historical', 'romance', 'drama', 'political']",saturday
"['historical', 'romance', 'drama', 'political']", sunday
"['action', 'thriller', 'crime', 'drama']",friday
"['historical', 'drama', 'political']",monday
"['historical', 'drama', 'political']", tuesday
"['military', 'romance', 'drama']",NA
"['romance', 'drama', 'family']",saturday
"['romance', 'drama', 'family']", sunday
"['law', 'romance', 'drama', 'melodrama']",saturday
"['law', 'romance', 'drama', 'melodrama']", sunday
"['thriller', 'romance', 'drama', 'fantasy']",friday
"['thriller', 'romance', 'drama', 'fantasy']", saturday
"['action', 'romance']",saturday
"['action', 'romance']", sunday
"['comedy', 'romance', 'life', 'melodrama']",wednesday
"['comedy', 'romance', 'life', 'melodrama']", thursday
"['mystery', 'romance', 'fantasy', 'melodrama']",monday
"['mystery', 'romance', 'fantasy', 'melodrama']", tuesday
"['historical', 'romance', 'life', 'drama']",saturday
"['historical', 'romance', 'life', 'drama']", sunday
"['comedy', 'romance', 'youth', 'drama']",monday
"['comedy', 'romance', 'youth', 'drama']", tuesday
"['romance', 'drama', 'medical']",monday
"['romance', 'drama', 'medical']", tuesday
"['mystery', 'comedy']",monday
"['mystery', 'comedy']", tuesday
"['drama', 'family']",saturday
"['drama', 'family']",saturday
"['comedy', 'romance', 'melodrama']",saturday
"['comedy', 'romance', 'melodrama']", sunday
"['comedy', 'romance', 'drama', 'fantasy']",wednesday
"['comedy', 'romance', 'drama', 'fantasy']", thursday
"['action', 'historical', 'romance', 'political']",wednesday
"['action', 'historical', 'romance', 'political']", thursday
"['mystery', 'comedy', 'romance', 'supernatural']",friday
"['mystery', 'comedy', 'romance', 'supernatural']", saturday
"['romance', 'drama', 'family']",monday
"['romance', 'drama', 'family']", tuesday
"['romance', 'drama', 'family']", wednesday
"['romance', 'drama', 'family']", thursday
"['romance', 'drama', 'family']", friday
"['comedy', 'romance', 'family', 'melodrama']",monday
"['comedy', 'romance', 'family', 'melodrama']", tuesday
"['comedy', 'romance', 'family', 'melodrama']", wednesday
"['comedy', 'romance', 'family', 'melodrama']", thursday
"['comedy', 'romance', 'family', 'melodrama']", friday
"['comedy', 'romance', 'family', 'melodrama']",monday
"['comedy', 'romance', 'family', 'melodrama']", tuesday
"['comedy', 'romance', 'family', 'melodrama']", wednesday
"['comedy', 'romance', 'family', 'melodrama']", thursday
"['comedy', 'romance', 'family', 'melodrama']", friday
"['horror', 'comedy', 'romance', 'supernatural']",monday
"['horror', 'comedy', 'romance', 'supernatural']", tuesday
"['comedy', 'romance', 'drama']",monday
"['comedy', 'romance', 'drama']", tuesday
"['business', 'romance', 'drama', 'melodrama']",monday
"['business', 'romance', 'drama', 'melodrama']", tuesday
"['business', 'romance', 'drama', 'melodrama']", wednesday
"['business', 'romance', 'drama', 'melodrama']", thursday
"['business', 'romance', 'drama', 'melodrama']", friday
"['thriller', 'mystery', 'drama', 'fantasy']",saturday
"['thriller', 'mystery', 'drama', 'fantasy']", sunday
"['comedy', 'romance', 'drama']",monday
"['comedy', 'romance', 'drama']", tuesday
"['music', 'drama']",thursday
"['romance', 'drama', 'melodrama']",wednesday
"['romance', 'drama', 'family']",monday
"['romance', 'drama', 'family']", tuesday
"['romance', 'life', 'drama']",monday
"['romance', 'life', 'drama']", tuesday
"['comedy', 'law', 'romance', 'life']",wednesday
"['comedy', 'law', 'romance', 'life']", thursday
"['romance', 'drama', 'family']",monday
"['romance', 'drama', 'family']", tuesday
"['romance', 'drama', 'family']", wednesday
"['romance', 'drama', 'family']", thursday
"['romance', 'drama', 'family']", friday
"['historical', 'comedy', 'romance', 'drama']",wednesday
"['historical', 'comedy', 'romance', 'drama']", thursday
"['thriller', 'mystery', 'comedy', 'romance']",monday
"['thriller', 'mystery', 'comedy', 'romance']", tuesday
"['thriller', 'mystery', 'drama']",friday
"['thriller', 'mystery', 'comedy', 'romance']",wednesday
"['thriller', 'mystery', 'comedy', 'romance']", thursday
"['mystery', 'comedy', 'romance', 'youth']",monday
"['mystery', 'comedy', 'romance', 'youth']", tuesday
"['mystery', 'comedy', 'romance', 'youth']",monday
"['mystery', 'comedy', 'romance', 'youth']", tuesday
['drama'],monday
['drama'], tuesday
['drama'], wednesday
['drama'], thursday
['drama'], friday
"['psychological', 'romance', 'life', 'drama']",monday
"['psychological', 'romance', 'life', 'drama']", tuesday
"['comedy', 'romance', 'drama', 'melodrama']",saturday
"['comedy', 'romance', 'drama', 'melodrama']", sunday
"['mystery', 'romance', 'drama', 'melodrama']",monday
"['mystery', 'romance', 'drama', 'melodrama']", tuesday
"['mystery', 'romance', 'drama', 'melodrama']", wednesday
"['mystery', 'romance', 'drama', 'melodrama']", thursday
"['mystery', 'romance', 'drama', 'melodrama']", friday
"['mystery', 'drama', 'supernatural']",sunday
"['comedy', 'romance', 'supernatural', 'political']",friday
"['comedy', 'romance', 'supernatural', 'political']", saturday
"['thriller', 'mystery', 'comedy', 'fantasy']",NA
"['law', 'drama', 'political']",friday
"['law', 'drama', 'political']", saturday
"['thriller', 'mystery', 'supernatural']",saturday
"['thriller', 'mystery', 'supernatural']", sunday
"['thriller', 'mystery', 'psychological', 'drama']",wednesday
"['thriller', 'mystery', 'psychological', 'drama']", thursday
"['comedy', 'romance', 'life']",monday
"['comedy', 'romance', 'life']", tuesday
"['thriller', 'mystery']",saturday
"['thriller', 'mystery']", sunday
