kdrama_name,tags
"['horror', 'comedy', 'romance', 'fantasy']",South Korea
"['business', 'romance', 'drama', 'melodrama']",South Korea
"['business', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['food', 'romance', 'drama', 'fantasy']",South Korea
"['romance', 'drama', 'family', 'melodrama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['mystery', 'comedy', 'romance', 'drama']",South Korea
"['mystery', 'comedy', 'romance']",South Korea
['drama'],South Korea
"['historical', 'medical']",South Korea
"['historical', 'drama', 'medical']",South Korea
"['mystery', 'business', 'comedy', 'life']",South Korea
['historical'],South Korea
"['action', 'historical', 'comedy', 'romance']",South Korea
"['psychological', 'comedy', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'mature']",South Korea
"['comedy', 'romance', 'youth', 'sci-fi']",South Korea
"['mystery', 'law', 'romance', 'supernatural']",South Korea
"['comedy', 'romance']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['comedy', 'romance', 'fantasy', 'supernatural']",South Korea
"['comedy', 'romance']",South Korea
"['comedy', 'romance']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['food', 'comedy', 'romance', 'melodrama']",South Korea
"['comedy', 'romance']",South Korea
"['music', 'mystery', 'comedy', 'romance']",South Korea
"['mystery', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'sci-fi']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['romance', 'youth', 'drama']",South Korea
"['music', 'comedy', 'life', 'youth']",South Korea
"['music', 'youth', 'drama']",South Korea
['drama'],South Korea
"['romance', 'life', 'drama', 'medical']",South Korea
"['historical', 'drama']",South Korea
"['life', 'supernatural']",South Korea
"['music', 'comedy', 'romance', 'drama']",South Korea
"['action', 'military', 'historical', 'drama']",South Korea
"['romance', 'drama']",South Korea
"['business', 'romance', 'drama']",South Korea
"['thriller', 'mystery', 'law', 'drama']",South Korea
"['action', 'thriller', 'law']",South Korea
"['action', 'thriller', 'mystery', 'comedy']",South Korea
"['action', 'historical', 'romance', 'drama']",South Korea
"['historical', 'drama']",South Korea
"['historical', 'drama', 'political']",South Korea
"['business', 'comedy', 'romance', 'drama']",South Korea
"['romance', 'youth']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['action', 'romance', 'drama']",South Korea
"['action', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'youth']",South Korea
"['action', 'thriller', 'horror', 'fantasy']",South Korea
