kdrama_name,actor
"['military', 'historical', 'drama', 'political']", Kim Gab Soo
"['military', 'historical', 'drama', 'political']", Lee Deok Hwa
"['military', 'historical', 'drama', 'political']", Kim Myung Kook
"['military', 'historical', 'drama', 'political']", Seo In Seok
"['military', 'historical', 'drama', 'political']", Kim Heung Ki
"['business', 'life', 'drama']",Lee Bo Young
"['business', 'life', 'drama']", Jo Sung Ha
"['business', 'life', 'drama']", Son Na Eun
"['business', 'life', 'drama']", Han Joon Woo
"['business', 'life', 'drama']", Jeon Hye Jin
"['business', 'life', 'drama']", Lee Chang Hoon
"['action', 'romance', 'drama']",Lee Jung Jae
"['action', 'romance', 'drama']", Choi Ji Woo
"['action', 'romance', 'drama']", Lee Jin Wook
"['action', 'romance', 'drama']", Moon Jung Hee
"['action', 'romance', 'drama']", Yoon Joo Sang
"['action', 'romance', 'drama']", Lee Da Hee
"['action', 'historical', 'romance', 'fantasy']",Lee Jae Wook
"['action', 'historical', 'romance', 'fantasy']", Jung So Min
"['action', 'historical', 'romance', 'fantasy']", Hwang Min Hyun
"['action', 'historical', 'romance', 'fantasy']", Shin Seung Ho
"['action', 'historical', 'romance', 'fantasy']", Yoo  Joon Sang
"['action', 'historical', 'romance', 'fantasy']", Oh Na Ra
"['mystery', 'sci-fi', 'fantasy', 'melodrama']",Kim Hee Sun
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", Joo Won
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", Kwak Shi Yang
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", Lee Da In
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", Kim  Sang Ho
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", Hwang Seung Eon
"['comedy', 'romance', 'political']",Shin Ha Kyun
"['comedy', 'romance', 'political']", Lee Min Jung
"['comedy', 'romance', 'political']", Park Hee Soon 
"['comedy', 'romance', 'political']", Han Chae Ah
"['comedy', 'romance', 'political']", Min Ji Ah
"['comedy', 'romance', 'political']", Gong Hyung Jin
"['romance', 'drama', 'family', 'melodrama']",Eugene
"['romance', 'drama', 'family', 'melodrama']", Lee Sang Woo
"['romance', 'drama', 'family', 'melodrama']", Go Doo Shim
"['romance', 'drama', 'family', 'melodrama']", Kim Mi Sook
"['romance', 'drama', 'family', 'melodrama']", Choi  Tae Joon
"['romance', 'drama', 'family', 'melodrama']", Oh Min Suk
"['comedy', 'romance', 'political']",Shin Ha Kyun
"['comedy', 'romance', 'political']", Lee Min Jung
"['comedy', 'romance', 'political']", Park Hee Soon 
"['comedy', 'romance', 'political']", Han Chae Ah
"['comedy', 'romance', 'political']", Min Ji Ah
"['comedy', 'romance', 'political']", Gong Hyung Jin
"['romance', 'crime', 'drama', 'melodrama']",Song Hye Kyo
"['romance', 'crime', 'drama', 'melodrama']", Lee Byung Hun
"['romance', 'crime', 'drama', 'melodrama']", Park Sol Mi
"['romance', 'crime', 'drama', 'melodrama']", Ji Sung
"['romance', 'crime', 'drama', 'melodrama']", Fueki Yuko
"['romance', 'crime', 'drama', 'melodrama']", Im Hyun Shik
['romance'],Shin Ae Ra
['romance'], Cha In Pyo
['romance'], Lee Seung Yeon
['romance'], Chun Ho Jin
['romance'], Lee Jin Woo
['romance'], Park Sang Ah
"['action', 'thriller', 'horror', 'sci-fi']",Park Ji Hu
"['action', 'thriller', 'horror', 'sci-fi']", Yoon Chan Young
