kdrama_name,tags
Why Her, badtempered female lead
Why Her, cold female lead
Why Her, mean female lead
Why Her, wrongfully accused 
While You Were Sleeping,
Tale of the Nine Tailed,ninetailed fox
Tale of the Nine Tailed, reincarnation
Tale of the Nine Tailed, supernatural
Tale of the Nine Tailed, sibling rivalry
Tale of the Nine Tailed, fated love
Tale of the Nine Tailed, interspecies romance
Tale of the Nine Tailed, mythical being
Tale of the Nine Tailed, hardworking female lead
Tale of the Nine Tailed, smart female lead
Tale of the Nine Tailed, strong female lead 
Extraordinary You,sassy female lead
Extraordinary You, nice male lead
Extraordinary You, adapted from a webtoon
Extraordinary You, high school
Extraordinary You, illness
Extraordinary You, height difference
Extraordinary You, love triangle
Extraordinary You, character development
Extraordinary You, strong female lead
Extraordinary You, amnesia 
Reply 1988,multiple couples
Reply 1988, nostalgia
Reply 1988, poor family
Reply 1988, love triangle
Reply 1988, heartfelt
Reply 1988, high school
Reply 1988, motherson relationship
Reply 1988, coming of age
Reply 1988, bromance
Reply 1988, poor female lead 
Hospital Playlist,multiple mains
Hospital Playlist, slow romance
Hospital Playlist, multiple couples
Hospital Playlist, strong female lead
Hospital Playlist, slight romance
Hospital Playlist, nice male lead
Hospital Playlist, bromance
Hospital Playlist, nice female lead
Hospital Playlist, heartfelt
Hospital Playlist, music 
Boys Over Flowers,rich manpoor woman
Boys Over Flowers, adapted from a manga
Boys Over Flowers, school bullying
Boys Over Flowers, love triangle
Boys Over Flowers, high school
Boys Over Flowers, mean male lead
Boys Over Flowers, evil parental figure
Boys Over Flowers, reverseharem
Boys Over Flowers, male chases female first
Boys Over Flowers, first love 
My Mister,nice male lead
My Mister, strong female lead
My Mister, smart female lead
My Mister, healing
My Mister, depression
My Mister, poor female lead
My Mister, infidelity
My Mister, power struggle
My Mister, hardworking female lead
My Mister, grandmagranddaughter relationship 
Sell Your Haunted House,ghost
Sell Your Haunted House, supernatural
Sell Your Haunted House, exorcism
Sell Your Haunted House, strong female lead
Sell Your Haunted House, smart female lead
Sell Your Haunted House, exorcist
Sell Your Haunted House, cold female lead
Sell Your Haunted House, suspense
Sell Your Haunted House, crime
Sell Your Haunted House, secret 
Because This Is My First Life,contract relationship
Because This Is My First Life, marriage of convenience
Because This Is My First Life, eccentric male lead
