Kdrama_name,Episodes,start airing,end airing,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers
Haereul poomeun dal,20,4-Jan-12,15-Mar-12,MBC,65,8.4,22890,434,117,15+ - Teens 15 or older,"49,847"
The Crowned Clown,16,7-Jan-19,4-Mar-19,tvN,80,8.4,8100,443,388,15+ - Teens 15 or older,"22,672"
Military Prosecutor Do Bae Man,16,28-Feb-22,26-Apr-22,tvN,65,8.4,4964,498,715,15+ - Teens 15 or older,"14,249"
Oh My Ghost,16,3-Jul-15,22-Aug-15,tvN,60,8.3,42527,573,38,13+ - Teens 13 or older,"79,935"
Save Me,16,5-Aug-17,24-Sep-17,OCN,60,8.6,19583,261,114,15+ - Teens 15 or older,"50,655"
Live Up to Your Name,16,12-Aug-17,1-Oct-17,tvN,70,8.3,10073,758,435,15+ - Teens 15 or older,"21,114"
My Unfamiliar Family,16,1-Jun-20,21-Jul-20,tvN,75,8.4,2620,473,1345,15+ - Teens 15 or older,"7,546"
Keuleiji Leobeu,16,7-Mar-22,26-Apr-22,KBS2,65,8.3,8957,654,418,15+ - Teens 15 or older,"21,773"
The Innocent Man,20,12-Sep-12,15-Nov-12,KBS2,62,8.1,22255,1223,146,15+ - Teens 15 or older,"44,692"
Encounter,16,28-Nov-18,24-Jan-19,tvN,69,8.1,13225,1156,228,15+ - Teens 15 or older,"33,308"
Kairos,16,26-Oct-20,22-Dec-20,MBC,70,8.5,4853,296,668,15+ - Teens 15 or older,"15,089"
"Bring It On, Ghost",16,11-Jul-16,30-Aug-16,tvN,60,8.2,31821,965,70,15+ - Teens 15 or older,"64,721"
Tunnel,16,25-Mar-17,21-May-17,OCN,64,8.7,15802,161,212,15+ - Teens 15 or older,"35,028"
The Veil,12,17-Sep-21,23-Oct-21,MBC,70,8.3,4443,612,849,15+ - Teens 15 or older,"12,265"
Private Lives,16,7-Oct-20,26-Nov-20,jTBC Netflix,75,7.5,5906,4161,609,15+ - Teens 15 or older,"16,512"
My Golden Life,52,2-Sep-17,11-Mar-18,KBS2,65,7.9,3311,1824,1077,15+ - Teens 15 or older,"9,479"
The 1st Shop of Coffee Prince,17,2-Jul-07,28-Aug-07,MBC,60,8.3,45701,741,35,15+ - Teens 15 or older,"82,703"
Bridal Mask,28,30-May-12,6-Sep-12,KBS2,65,8.6,10465,205,310,15+ - Teens 15 or older,"27,030"
"Father, I'll Take Care of You",50,12-Nov-16,7-May-17,MBC,65,7.6,1262,3709,2170,15+ - Teens 15 or older,"4,383"
A Love So Beautiful,24,28-Dec-20,20-Feb-21,Daum Kakao TV Netflix,20,7.8,12841,2351,354,13+ - Teens 13 or older,"24,586"
