Kdrama_name,Episodes,start airing,end airing,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers
Can't Lose,18,24-Aug-11,20-Oct-11,MBC,70,6.9,827,5946,3466,15+ - Teens 15 or older,"2,392"
Neighborhood Lawyer Jo Deul-ho,20,28-Mar-16,31-May-16,KBS2,60,7.9,1110,2111,2530,15+ - Teens 15 or older,"3,637"
The Queen of Office,16,1-Apr-13,21-May-13,KBS2,70,7.4,773,4271,3221,13+ - Teens 13 or older,"2,656"
Brain,20,14-Nov-11,17-Jan-12,KBS2,66,7.7,1120,3119,2792,15+ - Teens 15 or older,"3,211"
Wonderful Mama,48,13-Apr-13,22-Sep-13,SBS,70,7.3,436,4893,4489,Not Yet Rated,"1,608"
Marrying a Millionaire,16,26-Nov-05,22-Jan-06,SBS,65,6.9,583,5927,4415,Not Yet Rated,"1,647"
Man Who Dies to Live,24,19-Jul-17,24-Aug-17,MBC,35,7.3,335,5145,5237,15+ - Teens 15 or older,"1,287"
Basketball,18,21-Oct-13,17-Dec-13,tvN,65,6.8,471,6029,4046,Not Yet Rated,"1,893"
Robber,16,2-Jan-08,28-Feb-08,SBS,70,7.2,543,5267,5061,13+ - Teens 13 or older,"1,357"
The Banker,32,27-Mar-19,16-May-19,MBC,35,7.6,209,40773,6502,15+ - Teens 15 or older,912
Model,36,9-Apr-97,7-Aug-97,SBS,60,7.2,29,48034,99999,G - All Ages,162
Mysterious Personal Shopper,103,26-Feb-18,20-Jul-18,KBS2,40,7.1,211,48689,6983,15+ - Teens 15 or older,810
Coma,5,21-Jul-06,18-Aug-06,OCN,60,7,289,50798,6989,15+ - Teens 15 or older,809
Masked Prosecutor,16,20-May-15,9-Jul-15,KBS2,70,7.1,997,5660,2719,Not Yet Rated,"3,345"
Heaven's Promise,102,1-Feb-16,24-Jun-16,KBS2,35,7.6,907,3326,3068,15+ - Teens 15 or older,"2,842"
Behind the White Tower,20,6-Jan-07,11-Mar-07,MBC,63,7.8,158,39097,6873,Not Yet Rated,832
It's My Life,124,5-Nov-18,26-Apr-19,KBS1,30,7.1,178,49321,5670,15+ - Teens 15 or older,"1,139"
I Order You,16,6-Jul-15,30-Jul-15,SBS Plus,20,7.3,3932,4879,1196,Not Yet Rated,"8,559"
Korean Peninsula,18,6-Feb-12,3-Apr-12,TV Chosun,60,7.6,132,41815,7759,Not Yet Rated,667
On Air,21,5-Mar-08,15-May-08,SBS,70,7.4,609,4496,4408,15+ - Teens 15 or older,"1,652"
Empire of Gold,24,1-Jul-13,17-Sep-13,SBS,63,7.5,605,4253,3446,13+ - Teens 13 or older,"2,413"
You Are the Only One,120,24-Nov-14,8-May-15,KBS1,35,7.3,201,46699,7002,Not Yet Rated,807
Shining Days,16,11-Feb-04,1-Apr-04,SBS,63,7.3,20,46672,99999,Not Yet Rated,208
Incarnation of Money,24,2-Feb-13,21-Apr-13,SBS,65,7.9,1954,2119,2006,Not Yet Rated,"4,796"
Capital Scandal,16,6-Jun-07,1-Aug-07,KBS2,70,7.6,1273,3437,2724,13+ - Teens 13 or older,"3,334"
"Run, Jang-Mi",123,15-Dec-14,5-Jun-15,SBS,40,7.3,49,45679,8097,Not Yet Rated,618
Assembly,20,15-Jul-15,17-Sep-15,KBS2,60,7.6,292,41710,5029,Not Yet Rated,"1,371"
My Heart Twinkle Twinkle,26,17-Jan-15,12-Apr-15,SBS,60,7.2,684,5296,3489,Not Yet Rated,"2,372"
Who Are You?,16,29-Jul-13,17-Sep-13,tvN,60,7.7,8257,3152,489,Not Yet Rated,"19,293"
Love Returns,120,13-Nov-17,4-May-18,KBS1,35,7.4,563,4274,3737,15+ - Teens 15 or older,"2,148"
Unkind Ladies,24,25-Feb-15,14-May-15,KBS2,70,7.5,743,4136,3402,Not Yet Rated,"2,459"
Reset,10,24-Aug-14,26-Oct-14,OCN,60,7.3,1057,5001,2301,15+ - Teens 15 or older,"4,105"
Bad Housewife,18,21-Mar-05,17-May-05,SBS,70,6.9,67,51494,12303,15+ - Teens 15 or older,277
Hero,9,18-Mar-12,13-May-12,OCN,45,7.3,346,4766,5114,Not Yet Rated,"1,333"
My Dear Cat,119,9-Jun-14,21-Nov-14,KBS1,34,6.8,185,52463,5981,Not Yet Rated,"1,048"
Best Chicken,12,2-Jan-19,7-Feb-19,DramaX MBN Viki,65,7.3,1441,4810,2403,15+ - Teens 15 or older,"3,866"
Ruler of Your Own World,20,3-Jul-02,5-Sep-02,MBC,65,7.6,152,41888,7402,13+ - Teens 13 or older,730
Melody of Love,151,4-Nov-13,6-Jun-14,KBS1,35,6.9,414,5864,4613,Not Yet Rated,"1,544"
Spy Myung-wol,18,11-Jul-11,6-Sep-11,KBS2,70,7.2,5690,5375,943,Not Yet Rated,"10,819"
Syndrome,20,13-Feb-12,17-Apr-12,jTBC,65,7.2,289,47570,5591,15+ - Teens 15 or older,"1,164"
"Be Strong, Geum-Soon!",163,14-Feb-05,30-Sep-05,MBC,30,7.5,367,4035,6162,13+ - Teens 13 or older,"1,001"
Laurel Tree Tailors,54,27-Aug-16,26-Feb-17,KBS2,65,7.9,1266,2057,2581,Not Yet Rated,"3,556"
Lights and Shadows,64,28-Nov-11,3-Jul-12,MBC,65,7.7,44,40433,11069,Not Yet Rated,345
Two Mothers,102,3-Jun-14,7-Nov-14,KBS2,35,7.1,169,49379,8377,Not Yet Rated,578
My Beloved Sister,55,12-Aug-06,18-Feb-07,MBC,65,7.4,101,45315,10321,13+ - Teens 13 or older,396
Unknown Woman,102,24-Apr-17,15-Sep-17,KBS2,35,7.4,327,4648,6004,15+ - Teens 15 or older,"1,042"
A Thousand Kisses,50,20-Aug-11,5-Feb-12,MBC,62,6.8,1483,6007,2316,G - All Ages,"4,077"
Aillaendeu,16,1-Sep-04,21-Oct-04,MBC,70,6.6,227,53822,6621,Not Yet Rated,883
The Secret of My Love,100,18-Sep-17,9-Feb-18,KBS2,30,7.1,135,49674,8370,15+ - Teens 15 or older,579
Gangnam Scandal,123,26-Nov-18,17-May-19,SBS,35,7.4,359,4673,3646,15+ - Teens 15 or older,"2,230"
Tomorrow Boy,5,28-Mar-16,25-Apr-16,Naver TV Cast,16,7,1137,5759,2834,Not Yet Rated,"3,137"
Jeogdoui Namja,20,21-Mar-12,24-May-12,KBS2,65,7.4,1192,4545,2604,Not Yet Rated,"3,526"
Amoreupati,120,12-Apr-21,1-Oct-21,SBS,35,7.3,81,46890,9694,15+ - Teens 15 or older,446
"Sweet, Savage Family",16,18-Nov-15,14-Jan-16,MBC,60,7.3,494,4770,3539,15+ - Teens 15 or older,"2,325"
Someday,16,11-Nov-06,29-Dec-06,OCN,65,7.1,212,48734,8129,Not Yet Rated,613
A Daughter Just Like You,120,18-May-15,6-Nov-15,MBC,35,7.5,342,3902,4980,15+ - Teens 15 or older,"1,389"
Romance,16,8-May-02,27-Jun-02,MBC,65,7.3,606,5098,3748,15+ - Teens 15 or older,"2,139"
Surgeon Bong Dal-hee,18,17-Jan-07,15-Mar-07,SBS,70,7.6,441,3435,6233,Not Yet Rated,982
Apgujeong Midnight Sun,149,6-Oct-14,15-May-15,MBC,35,7.4,172,44629,8388,15+ - Teens 15 or older,577
Love to the End,104,23-Jul-18,31-Dec-18,KBS2,35,7.3,185,46599,7301,15+ - Teens 15 or older,750
Sweden Laundry,16,21-Nov-14,6-Mar-15,MBC every1,60,7.1,1777,5654,1981,Not Yet Rated,"4,848"
Family's Honor,54,11-Oct-08,19-Apr-09,SBS,70,7.9,798,1819,4177,15+ - Teens 15 or older,"1,804"
One Fine Day,2,1-Feb-14,2-Feb-14,SBS,N/A,7.2,3,47815,99999,Not Yet Rated,95
Magic Cellphone,10,13-Jul-16,14-Sep-16,N/A,10,6,629,6322,4457,13+ - Teens 13 or older,"1,627"
Grandpas Over Flowers Investigation Team,12,9-May-14,25-Jul-14,tvN,60,7.8,1548,2255,2236,15+ - Teens 15 or older,"4,229"
Love on a Rooftop,101,6-Apr-15,21-Aug-15,KBS2,35,6.9,255,52041,6748,15+ - Teens 15 or older,856
Conspiracy in the Court,8,9-Jul-07,31-Jul-07,KBS2,70,7.5,192,43588,6960,Not Yet Rated,816
Precious Family,68,16-Oct-04,5-Jun-05,KBS2,N/A,7.9,26,37804,99999,Not Yet Rated,226
Byeoleun nae gaseume,16,10-Mar-97,29-Apr-97,MBC,45,7.5,353,3883,6189,Not Yet Rated,995
Beating Heart,12,2-Apr-05,8-May-05,MBC,70,7.2,55,47519,12698,15+ - Teens 15 or older,260
Enemies from the Past,123,27-Nov-17,1-Jun-18,MBC,35,7.6,196,40730,6767,15+ - Teens 15 or older,853
Obeo deo reinbou,16,26-Jul-06,14-Sep-06,MBC,60,7,638,5789,4359,13+ - Teens 13 or older,"1,677"
Happy Ending,3," Dec 24, 2016",N/A,N/A,9,6.9,115,51450,9181,Not Yet Rated,494
I Love Lee Tae-ri,16,28-May-12,17-Jul-12,tvN,45,6.8,2022,5994,1959,Not Yet Rated,"4,904"
Autumn Shower,16,21-Sep-05,10-Nov-05,MBC,60,7.1,107,49298,10418,Not Yet Rated,387
Make a Woman Cry,40,18-Apr-15,30-Aug-15,MBC,75,7.6,256,41510,5594,15+ - Teens 15 or older,"1,163"
Love Again,16,25-Apr-12,14-Jun-12,jTBC,63,7.4,64,44677,9943,15+ - Teens 15 or older,425
Your Neighbor's Wife,22,14-Oct-13,24-Dec-13,jTBC,60,7.3,65,45559,9615,15+ - Teens 15 or older,454
Ad Genius Lee Tae Baek,16,4-Feb-13,26-Mar-13,KBS2,65,6.9,1322,5948,2733,Not Yet Rated,"3,312"
Yurihwa,18,1-Dec-04,3-Feb-05,SBS,64,7.1,293,49853,7243,Not Yet Rated,759
How to Meet a Perfect Neighbor,20,25-Jul-07,27-Sep-07,SBS,65,7.1,559,5633,4603,13+ - Teens 13 or older,"1,549"
The End of the World,12,16-Mar-13,5-May-13,jTBC,70,7.4,122,44529,7472,15+ - Teens 15 or older,716
"Please Come Back, Soon-ae",16,12-Jul-06,31-Aug-06,SBS,60,6.8,107,52648,11633,Not Yet Rated,312
The Wedding Scheme,16,2-Apr-12,22-May-12,tvN,45,7.1,1102,5606,3376,Not Yet Rated,"2,489"
Don't Hesitate,98,5-Oct-09,26-Feb-10,SBS,40,7.1,624,5523,5030,15+ - Teens 15 or older,"1,370"
Into the Flames,20,25-Apr-14,28-Jun-14,TV Chosun,70,7.8,17,38934,10318,15+ - Teens 15 or older,396
