kdrama_name,genre
Dear X Who Doesn't Love Me,romance
Dear X Who Doesn't Love Me,drama
The Light in Your Eyes,romance
The Light in Your Eyes,life
The Light in Your Eyes,drama
The Light in Your Eyes,melodrama
Watcher,thriller
Watcher,mystery
Watcher,drama
Watcher,political
Live,comedy
Live,romance
Live,life
Live,drama
The King 2 Hearts,military
The King 2 Hearts,comedy
The King 2 Hearts,romance
The King 2 Hearts,drama
Life on Mars,action
Life on Mars,mystery
Life on Mars,psychological
Life on Mars,comedy
Lost,life
Lost,drama
Lost,melodrama
"Hello, Me!",comedy
"Hello, Me!",romance
"Hello, Me!",life
"Hello, Me!",fantasy
My Absolute Boyfriend,comedy
My Absolute Boyfriend,romance
My Absolute Boyfriend,drama
My Absolute Boyfriend,fantasy
Oh My Baby,comedy
Oh My Baby,romance
Oh My Baby,drama
Oh My Baby,medical
"At A Distance, Spring Is Green",romance
"At A Distance, Spring Is Green",life
"At A Distance, Spring Is Green",school
"At A Distance, Spring Is Green",youth
Search,military
Search,thriller
Search,mystery
Search,horror
Operation Proposal,friendship
Operation Proposal,romance
Operation Proposal,school
Operation Proposal,sports
Operation Proposal,fantasy
Young Lady and Gentleman,comedy
Young Lady and Gentleman,romance
Young Lady and Gentleman,family
Young Lady and Gentleman,melodrama
Live On,comedy
Live On,romance
Live On,youth
Live On,drama
So Not Worth It,comedy
So Not Worth It,romance
So Not Worth It,youth
So Not Worth It,sitcom
Reply 1994,comedy
Reply 1994,romance
Reply 1994,drama
Reply 1994,sports
Melancholia,romance
Melancholia,school
Melancholia,drama
Melancholia,melodrama
The Best Hit,comedy
The Best Hit,romance
The Best Hit,life
The Best Hit,drama
Life,thriller
Life,psychological
Life,drama
Life,medical
Awaken,thriller
Awaken,mystery
Awaken,crime
Awaken,fantasy
Graceful Family,thriller
Graceful Family,mystery
Graceful Family,drama
Graceful Family,melodrama
The Lady in Dignity,thriller
The Lady in Dignity,mystery
The Lady in Dignity,romance
The Lady in Dignity,drama
When a Man Loves,romance
When a Man Loves,drama
Rooftop Prince,historical
Rooftop Prince,comedy
Rooftop Prince,romance
Rooftop Prince,fantasy
Top Management,romance
Top Management,life
Top Management,drama
Top Management,supernatural
The Scholar Who Walks the Night,historical
The Scholar Who Walks the Night,mystery
The Scholar Who Walks the Night,romance
The Scholar Who Walks the Night,fantasy
A Piece of Your Mind,romance
A Piece of Your Mind,life
A Piece of Your Mind,drama
A Piece of Your Mind,melodrama
Chimera,thriller
Chimera,mystery
Hometown,thriller
Hometown,historical
Hometown,mystery
Hometown,horror
A Witch's Love,business
A Witch's Love,comedy
A Witch's Love,romance
Blood,action
Blood,romance
Blood,medical
Blood,supernatural
Modooui Geojitmal,thriller
Modooui Geojitmal,mystery
Modooui Geojitmal,drama
Criminal Minds,action
Criminal Minds,mystery
Criminal Minds,drama
Only One Person,mystery
Only One Person,romance
Only One Person,drama
Only One Person,melodrama
Black Knight,action
Black Knight,adventure
Black Knight,drama
Black Knight,scifi
Black Knight,romance
Black Knight,drama
Black Knight,fantasy
Black Knight,melodrama
Entourage,business
Entourage,comedy
Entourage,drama
Catch the Ghost,thriller
Catch the Ghost,mystery
Catch the Ghost,comedy
Catch the Ghost,romance
Come and Hug Me,thriller
Come and Hug Me,mystery
Come and Hug Me,romance
Come and Hug Me,melodrama
I Wanna Hear Your Song,music
I Wanna Hear Your Song,mystery
I Wanna Hear Your Song,comedy
