Genres,Tags,Country,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,drama_name,imdb_rating,imdb_user_count,imdb_description
"['romance', 'drama', 'melodrama']","['revenge', 'rich family', 'smart female lead', 'forbidden love', 'soap opera', 'multiple mains', 'mother-daughter relationship', 'multiple couples', 'family ']",South Korea,103,"Nov  4, 2019","Mar 27, 2020","['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['KBS2'],33,7.4,282,6436,7237,15+ - Teens 15 or older,"1,062","['Cha Ye Ryun', 'Choi Myung Gil', 'Kim Heung Soo', 'Oh Chae Yi', 'Lee Hae Woo', 'Ji Soo Won']",['KBS World'],Gracious Revenge,7.8,19,
"['historical', 'romance', 'drama', 'political']","['joseon dynasty', 'sibling rivalry', 'love triangle', 'palace setting', 'prince male lead', 'historical fiction', 'royalty', 'rebellion', 'bromance', 'friendship ']",South Korea,20,"Mar  3, 2018","May  6, 2018","['saturday', 'sunday']","['TV Chosun', 'Viki']",70,7.8,2718,3352,1700,15+ - Teens 15 or older,"7,988","['Yoon Shi Yoon', 'Jin Se Yeon', 'Joo Sang Wook', 'Lee Yeon Kyung', 'Jang In Sub', 'Yeom Dong Hun']",['Viki'],Grand Prince,7.4,186,
"['mystery', 'drama']","['motherhood', 'adopted supporting character', 'female centered plot', 'professor female lead', 'bilingual supporting character', 'bilingual female lead', 'detective supporting character', 'child supporting character', 'director supporting character', 'doctor supporting character ']",South Korea,16,"Apr  6, 2022","May 26, 2022","['wednesday', 'thursday']","['jTBC', 'Netflix']",70,7.7,1678,4288,2845,15+ - Teens 15 or older,"4,312","['Lee Yo Won', 'Choo Ja Hyun', 'Kim Gyu Ri', 'Jang Hye Jin', 'Joo Min Kyung', 'Choi Jae Rim']","['TVING', 'Netflix']",Green Mothers' Club,N/A,N/A,N/A
"['thriller', 'mystery']","['hacker supporting character', 'secretary supporting character', 'detective fiction', 'detective supporting character', 'detective male lead', 'stubborn male lead', ""sisters' relationship"", 'animal death', 'sexual harassment', 'secret ']",South Korea,12,"May 13, 2022","May 27, 2022",['friday'],['TVING'],45,7.7,733,4191,3273,18+ Restricted (violence & profanity),"3,586","['Im Ji Yeon', 'Yoon Kyun Sang', 'Son Byung Ho', 'Song Ji In', 'Lee Mi Do', 'Jo Dal Hwan']",[],Green Rose,7.4,108,
"['action', 'thriller', 'mystery', 'sci-fi']","['miniseries', 'suspense', 'multiple mains', 'team leader supporting character', 'detective fiction', 'detective supporting character', 'detective female lead', 'death', 'web series', 'boss-employee relationship ']",South Korea,10,"Feb 16, 2022","Apr 20, 2022",['wednesday'],"['Disney+', 'Hulu']",60,7.5,3326,5745,1208,15+ - Teens 15 or older,"11,485","['Seo Kang Joon', 'Kim Ah Joong', 'Kim Mu Yeol', 'Lee Si Young', 'Kim Sung Kyun', 'Jang So Yeon']",['Hulu'],Grid,N/A,N/A,N/A
"['action', 'historical', 'romance', 'fantasy']","['interspecies romance', 'nine-tailed fox', 'strong female lead', 'superhuman strength', 'revenge', 'cross-dressing', 'badass female lead', 'joseon dynasty', 'eccentric male lead', 'love triangle ']",South Korea,24,"Apr  8, 2013","Jun 25, 2013","['monday', 'tuesday']",['MBC'],65,8.3,20118,986,218,15+ - Teens 15 or older,"43,228","['Lee Seung Gi', 'Bae Suzy', 'Lee Sung Jae', 'Yoo Yeon Seok', 'Lee Yoo Bi', 'Sung Joon']","['Viki', 'Apple TV']",Gu Family Book,N/A,N/A,N/A
"['comedy', 'romance', 'life', 'drama']","['innocent female lead', 'secondary couple', 'secret crush', 'older man/younger woman', 'calm female lead', 'male chases female first', 'nice male lead ']",South Korea,16,"Aug  1, 2001","Sep 20, 2001","['wednesday', 'thursday']",['SBS'],65,7.2,113,53855,11673,Not Yet Rated,441,"['Song Hye Kyo', 'Kim Min Jong', 'Yoon Da Hoon', 'Kim Min', 'Kim Bo Sung', 'Park Eun Bin']",[],Guardian Angel,N/A,N/A,N/A
"['comedy', 'romance', 'fantasy', 'melodrama']","['supernatural', 'older man/younger woman', 'interspecies romance', 'dokkaebi', 'fate', 'bromance', 'death', 'heartfelt', 'tearjerker', 'age gap [drama life] ']",South Korea,16,"Dec  2, 2016","Jan 21, 2017","['friday', 'saturday']",['tvN'],82,8.8,111654,125,1,15+ - Teens 15 or older,"211,056","['Gong Yoo', 'Kim Go Eun', 'Lee Dong Wook', 'Yoo In Na', 'Yook Sung Jae', 'Lee El']","['Viki', 'Apple TV']",Guardian: The Lonely and Great God,8.6,"25,534",
"['action', 'historical', 'romance', 'melodrama']","['strong male lead', 'joseon dynasty', 'gun fight', 'smart female lead', 'power struggle', 'revenge', 'hidden identity', 'historical fiction', 'drama', 'thriller ']",South Korea,22,"Jun 25, 2014","Sep  4, 2014","['wednesday', 'thursday']",['KBS2'],70,7.7,3604,4229,1333,15+ - Teens 15 or older,"10,337","['Lee Joon Gi', 'Nam Sang Mi', 'Han Joo Wan', 'Jeon Hye Bin', 'Yoo Oh Sung', 'Choi Ji Na']","['KBS World', 'Viki', 'Kocowa']",Gunman in Joseon,7,401,
"['historical', 'political']","['royalty', 'goguryeo dynasty', 'warrior female lead', 'king male lead', 'gwanggaeto the great', 'historical figure', 'historical fiction', 'sword-fight', 'strong female lead ']",South Korea,92,"Jun  4, 2011","Apr 29, 2012","['saturday', 'sunday']",['KBS1'],55,7.8,254,3498,7998,15+ - Teens 15 or older,894,"['Kim Seung Soo', 'Im Ho', 'Lee Tae Gon', 'Oh Ji Eun', 'Choi Dong Joon', 'Jung Ho Geun']",['KBS Drama Classic'],"Gwanggaeto, The Great Conqueror",7.9,130,
